category,I-AUROC,I-AP,I-F1,P-AUROC,P-AP,P-F1,P-AUPRO,iteration,dataset,model,backbone,setting
carpet,0.9988,0.9996,0.9889,0.9934,0.6902,0.7176,0.9753,10000,MVTec-AD,Dinomaly,ViT-Base/14 DINOv2-R,MUAD
grid,0.9975,0.9991,0.9912,0.9940,0.5616,0.5840,0.9713,10000,MVTec-AD,Dinomaly,ViT-Base/14 DINOv2-R,MUAD
leather,1.0000,1.0000,1.0000,0.9934,0.5198,0.5514,0.9778,10000,MVTec-AD,Dinomaly,ViT-Base/14 DINOv2-R,MUAD
tile,1.0000,1.0000,1.0000,0.9809,0.7828,0.7576,0.9056,10000,MVTec-AD,Dinomaly,ViT-Base/14 DINOv2-R,MUAD
wood,0.9991,0.9997,0.9917,0.9759,0.7312,0.6878,0.9365,10000,MVTec-AD,Dinomaly,ViT-Base/14 DINOv2-R,MUAD
bottle,1.0000,1.0000,1.0000,0.9913,0.8823,0.8401,0.9668,10000,MVTec-AD,Dinomaly,ViT-Base/14 DINOv2-R,MUAD
cable,1.0000,1.0000,1.0000,0.9834,0.6788,0.7014,0.9392,10000,MVTec-AD,Dinomaly,ViT-Base/14 DINOv2-R,MUAD
capsule,0.9793,0.9954,0.9818,0.9868,0.6063,0.6046,0.9742,10000,MVTec-AD,Dinomaly,ViT-Base/14 DINOv2-R,MUAD
hazelnut,1.0000,1.0000,1.0000,0.9943,0.8172,0.7659,0.9706,10000,MVTec-AD,Dinomaly,ViT-Base/14 DINOv2-R,MUAD
metal_nut,1.0000,1.0000,1.0000,0.9686,0.7879,0.8670,0.9466,10000,MVTec-AD,Dinomaly,ViT-Base/14 DINOv2-R,MUAD
pill,0.9924,0.9987,0.9825,0.9783,0.7565,0.7133,0.9746,10000,MVTec-AD,Dinomaly,ViT-Base/14 DINOv2-R,MUAD
screw,0.9850,0.9951,0.9627,0.9964,0.6024,0.6035,0.9833,10000,MVTec-AD,Dinomaly,ViT-Base/14 DINOv2-R,MUAD
toothbrush,1.0000,1.0000,1.0000,0.9890,0.5174,0.6276,0.9517,10000,MVTec-AD,Dinomaly,ViT-Base/14 DINOv2-R,MUAD
transistor,0.9904,0.9824,0.9639,0.9305,0.5928,0.5761,0.7531,10000,MVTec-AD,Dinomaly,ViT-Base/14 DINOv2-R,MUAD
zipper,1.0000,1.0000,1.0000,0.9917,0.7888,0.7517,0.9704,10000,MVTec-AD,Dinomaly,ViT-Base/14 DINOv2-R,MUAD
mean,0.9962,0.9980,0.9908,0.9832,0.6878,0.6900,0.9465,10000,MVTec-AD,Dinomaly,ViT-Base/14 DINOv2-R,MUAD
